,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",40,0,40,280,Accessory:Ant-SMAM-LTE,A800,280,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",40,0,40,280,Accessory:Ant-SMAM-LTE,A800,280,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",40,0,40,280,Accessory:Ant-SMAM-LTE,A800,280,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",50,0,50,350,Accessory:Ant-SMAM-LTE,A800,350,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",8,0,8,56,Accessory:Ant-SMAM-LTE,A800,56,WH01S-NTA
Total Ant-SMAM-LTE,,,,,,,,,,258,0,258,1806,,,1806,
Cbl-DB9F-3DB9M-15CM2,,,,,,,,,,,,,,,,,
,Sales Order,07/22/2025,11/21/2025,,Net 30,08/21/2025,SO-20251030,16134,Automated Environments,25,0,25,444,Accessory:Cbl-DB9F-3DB9M-15CM2,A689,444,WH01S-NTA
,Sales Order,07/22/2025,01/30/2026,,Net 30,08/21/2025,SO-20251031,16134,Automated Environments,25,0,25,444,Accessory:Cbl-DB9F-3DB9M-15CM2,A689,444,WH01S-NTA
,Sales Order,07/22/2025,02/27/2026,,Net 30,08/21/2025,SO-20251032,16134,Automated Environments,25,0,25,444,Accessory:Cbl-DB9F-3DB9M-15CM2,A689,444,WH01S-NTA
Total Cbl-DB9F-3DB9M-15CM2,,,,,,,,,,75,0,75,1332,,,1332,
Cbl-IDC085F-DB9M-30CM,,,,,,,,,,,,,,,,,
,Sales Order,08/15/2025,10/23/2025,,Prepay,08/15/2025,SO-20251167,PO5382,"Dexterity, Inc.",4,0,4,20,Accessory:Cbl-IDC085F-DB9M-30CM,A800,20,WH01S-NTA
Total Cbl-IDC085F-DB9M-30CM,,,,,,,,,,4,0,4,20,,,20,
Cbl-M12A5F-OT2-B-Red-Fuse-100CM,,,,,,,,,,,,,,,,,
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",20,0,20,300,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,300,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",20,0,20,300,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,300,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",20,0,20,300,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,300,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",20,0,20,300,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,300,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",20,0,20,300,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,300,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",25,0,25,375,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,375,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",4,0,4,60,Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM,A800,60,WH01S-NTA
Total Cbl-M12A5F-OT2-B-Red-Fuse-100CM,,,,,,,,,,129,0,129,1935,,,1935,
Cbl-M12A8M-2U2TA-180CM2,,,,,,,,,,,,,,,,,
,Sales Order,06/25/2025,08/06/2025,,Prepay,06/25/2025,SO-20250911,QTD_Rotor_250623,"Rotor Technologies, Inc.",3,0,3,42,Accessory:Cbl-M12A8M-2U2TA-180CM2,A702,42,WH01S-NTA
,Sales Order,08/28/2025,10/21/2025,,Prepay,08/28/2025,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",4,0,4,56,Accessory:Cbl-M12A8M-2U2TA-180CM2,A689,56,WH01S-NTA
Total Cbl-M12A8M-2U2TA-180CM2,,,,,,,,,,7,0,7,98,,,98,
Cbl-M12A8M-DB9F-180CM,,,,,,,,,,,,,,,,,
,Sales Order,08/12/2025,10/15/2025,,Prepay,08/12/2025,SO-20251145,7274,Near Earth Autonomy,1,0,1,24,Accessory:Cbl-M12A8M-DB9F-180CM,A702,24,WH01S-NTA
,Sales Order,08/19/2025,11/07/2025,,Prepay,08/19/2025,SO-20251174,7291,Near Earth Autonomy,2,0,2,48,Accessory:Cbl-M12A8M-DB9F-180CM,A702,48,WH01S-NTA
Total Cbl-M12A8M-DB9F-180CM,,,,,,,,,,3,0,3,72,,,72,
Cbl-M12A8M-DB9M-180CM,,,,,,,,,,,,,,,,,
,Sales Order,08/12/2025,10/15/2025,,Prepay,08/12/2025,SO-20251145,7274,Near Earth Autonomy,2,0,2,48,Accessory:Cbl-M12A8M-DB9M-180CM,A702,48,WH01S-NTA
,Sales Order,08/19/2025,11/07/2025,,Prepay,08/19/2025,SO-20251174,7291,Near Earth Autonomy,4,0,4,96,Accessory:Cbl-M12A8M-DB9M-180CM,A702,96,WH01S-NTA
Total Cbl-M12A8M-DB9M-180CM,,,,,,,,,,6,0,6,144,,,144,
Cbl-M12L5F-CordEnd5-180CM,,,,,,,,,,,,,,,,,
,Sales Order,08/28/2025,10/21/2025,,Prepay,08/28/2025,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",4,0,4,76,Accessory:Cbl-M12L5F-CordEnd5-180CM,A689,76,WH01S-NTA
,Sales Order,09/23/2025,10/24/2025,,Prepay,09/23/2025,SO-20251347,QTD_Echodyne_250923,Echodyne Corp.,3,0,3,57,Accessory:Cbl-M12L5F-CordEnd5-180CM,A800,57,WH01S-NTA
Total Cbl-M12L5F-CordEnd5-180CM,,,,,,,,,,7,0,7,133,,,133,
Cbl-M12S4F-CordEnd4-180CM,,,,,,,,,,,,,,,,,
,Sales Order,09/23/2025,10/24/2025,,Prepay,09/23/2025,SO-20251347,QTD_Echodyne_250923,Echodyne Corp.,3,0,3,69,Accessory:Cbl-M12S4F-CordEnd4-180CM,A800,69,WH01S-NTA
Total Cbl-M12S4F-CordEnd4-180CM,,,,,,,,,,3,0,3,69,,,69,
Cbl-M12S4F-OW4-180CM1,,,,,,,,,,,,,,,,,
,Sales Order,05/02/2025,10/03/2025,,Net 30,06/01/2025,SO-20250638,PO064732,"FireFly Automatix, Inc.",10,0,10,200,Accessory:Cbl-M12S4F-OW4-180CM1,A800,200,WH01S-NTA
,Sales Order,05/02/2025,11/13/2025,,Net 30,06/01/2025,SO-20250639,PO064732,"FireFly Automatix, Inc.",10,0,10,200,Accessory:Cbl-M12S4F-OW4-180CM1,A800,200,WH01S-NTA
,Sales Order,05/02/2025,12/12/2025,,Net 30,06/01/2025,SO-20250640,PO064732,"FireFly Automatix, Inc.",10,0,10,200,Accessory:Cbl-M12S4F-OW4-180CM1,A800,200,WH01S-NTA
,Sales Order,05/02/2025,01/13/2026,,Net 30,06/01/2025,SO-20250641,PO064732,"FireFly Automatix, Inc.",10,0,10,200,Accessory:Cbl-M12S4F-OW4-180CM1,A800,200,WH01S-NTA
,Sales Order,05/02/2025,02/13/2026,,Net 30,06/01/2025,SO-20250642,PO064732,"FireFly Automatix, Inc.",10,0,10,200,Accessory:Cbl-M12S4F-OW4-180CM1,A800,200,WH01S-NTA
