Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/09/15,2025/10/16,POD-251315,SO-20251296,Neousys Technology Incorp.,0,6,Nuvo-9006E-PoE-UL,WH01S-NTA,SO25090255
2025/09/15,2025/10/16,POD-251316,,Neousys Technology Incorp.,0,4,Nuvo-7501,WH01S-NTA,SO25090256
2025/09/15,2025/10/16,POD-251316,,Neousys Technology Incorp.,0,2,Nuvo-10208GC,WH01S-NTA,SO25090256
2025/09/15,2025/11/12,POD-251317,,Neousys Technology Incorp.,0,5,M.280-SSD-512GB-PCIe44-TLC5-PN,WH01S-NTA,SO25090257
2025/09/15,2025/10/16,POD-251318,SO-20251299,Neousys Technology Incorp.,0,1,Nuvis-7306RT-DTIO(EA),WH01S-NTA,SO25090258
2025/09/15,2025/10/16,POD-251320,,Neousys Technology Incorp.,0,1,NRU-162S-AWP,WH01S-NTA,SO25090272
2025/09/15,2025/10/16,POD-251320,,Neousys Technology Incorp.,0,4,NRU-230V-AWP,WH01S-NTA,SO25090272
2025/09/15,2025/10/16,POD-251320,,Neousys Technology Incorp.,0,2,Nuvo-10108GC-10G,WH01S-NTA,SO25090272
2025/09/15,2025/10/16,POD-251320,,Neousys Technology Incorp.,0,4,Nuvo-10208GC-10G,WH01S-NTA,SO25090272
2025/09/15,2025/10/16,POD-251320,,Neousys Technology Incorp.,0,4,Nuvo-10208GC-10G,WH01S-NTA,SO25090272
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,2,Nuvo-9006E,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,7,Nuvo-9160GC-PoE,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,2,Nuvo-9501,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,1,POC-400,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,1,POC-515,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,1,POC-712,WH01S-NTA,SO25090273
2025/09/15,2025/10/16,POD-251321,,Neousys Technology Incorp.,0,2,POC-712-UL,WH01S-NTA,SO25090273
2025/09/15,2025/10/8,POD-251322,,Neousys Technology Incorp.,0,2,M.280-SSD-2TB-PCIe44-TLC5ET-TD,WH01S-NTA,SO25090274
2025/09/15,2025/10/8,POD-251322,,Neousys Technology Incorp.,0,6,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH01S-NTA,SO25090274
2025/09/15,2025/11/12,POD-251322,,Neousys Technology Incorp.,0,2,M.280-SSD-512GB-PCIe44-TLC5-PN,WH01S-NTA,SO25090274
2025/09/15,2025/10/8,POD-251323,,Neousys Technology Incorp.,0,4,Cblkit-BP-NRU-230V-AWP,WH01S-NTA,SO25090275
2025/09/15,2025/10/16,POD-251323,,Neousys Technology Incorp.,0,2,Cblkit-NRU-162S-AWP,WH01S-NTA,SO25090275
2025/09/16,2025/10/16,POD-251325,,Neousys Technology Incorp.,0,3,Nuvo-10003,WH01S-NTA,SO25090293
2025/09/16,2025/10/16,POD-251325,,Neousys Technology Incorp.,0,1,Nuvo-9531-FT,WH01S-NTA,SO25090293
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,POC-400,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,DDR4-32GB-WT32-SM,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,9,M.280-SSD-1TB-SATA-TLCWT-IK,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,Win11IoT24-Entry,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,MezIO-V20,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,M.230-BTWIFI-AX210,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,20,Cbl-MHF4-RP_SMAF-15CM,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,20,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA,SO25090318
2025/09/17,2025/10/22,POD-251333,SO-20251311,Neousys Technology Incorp.,0,10,Wmkit-H-POC300_400,WH01S-NTA,SO25090318
2025/09/18,2025/10/8,POD-251337,SO-20251314,Neousys Technology Incorp.,0,2,LTN-452(EA),WH01S-NTA,SO25090338
2025/09/18,2025/10/16,POD-251337,SO-20251314,Neousys Technology Incorp.,0,2,POC-545,WH01S-NTA,SO25090338
2025/09/18,2025/10/16,POD-251337,SO-20251314,Neousys Technology Incorp.,0,4,Wmkit-V-POC500,WH01S-NTA,SO25090338
2025/09/18,2025/10/22,POD-251339,,Neousys Technology Incorp.,0,2,Nuvo-9006LP,WH01S-NTA,SO25090340
2025/09/18,2025/10/8,POD-251340,,Neousys Technology Incorp.,0,6,M.280-SSD-256GB-SATA-TLC5-PN,WH01S-NTA,SO25090346
2025/09/18,2025/10/22,POD-251340,,Neousys Technology Incorp.,0,1,POC-40,WH01S-NTA,SO25090346
2025/09/18,2025/10/22,POD-251340,,Neousys Technology Incorp.,0,6,Wmkit-V-POC300_400,WH01S-NTA,SO25090346
2025/09/22,2025/10/22,POD-251351,,Neousys Technology Incorp.,0,6,Nuvo-9006DE-PoE-UL,WH01S-NTA,SO25090379
2025/09/22,2025/10/22,POD-251351,,Neousys Technology Incorp.,0,2,Nuvo-9208VTC,WH01S-NTA,SO25090379
2025/09/22,2025/10/8,POD-251351,,Neousys Technology Incorp.,0,10,SSD-1TB-TLC5ET-TD,WH01S-NTA,SO25090379
2025/09/22,2025/10/8,POD-251351,,Neousys Technology Incorp.,0,5,Gpubr-Nuvo9160-01,WH01S-NTA,SO25090379
2025/09/22,2025/10/16,POD-251352,SO-20251333,Neousys Technology Incorp.,0,5,M.280-SSD-512GB-PCIe44-TLC5-PN,WH01S-NTA,SO25090380
