Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,mPCIe-M2E,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,75.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,M.2-LTE-7455,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,NRU-222S,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,50.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,GC-Jetson-AGX32GB-Orin-Nvidia,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,NRU-222S,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,M.2-LTE-7455,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,M.230-BTWIFI-AX210,WH01S-NTA,
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,20.0,mPCIe-M2E,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,4.0,DDR5-32GB-48WT-SM,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,Cbl-W10F-2M12A8F-40CM-IK-COM,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,Cbl-W40M-M12A8F-40CM-IK-DIO1,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,SEMIL-2047GC,WH01S-NTA,
