Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/10/01,2025/10/28,SO-20251407,PO-0138880,Carnegie Robotics LLC,0,3.0,Cbl-M12A8M-U2TA-180CM,WH01S-NTA,,Out
2025/08/28,2025/10/21,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",0,4.0,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA,,Out
2025/09/23,2025/10/24,SO-20251347,QTD_Echodyne_250923,Echodyne Corp.,0,3.0,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA,,Out
2025/10/13,2025/12/31,SO-20251457,ENG2805262,Vermeer Corporation,0,2.0,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA,,Out
2025/09/23,2025/10/24,SO-20251347,QTD_Echodyne_250923,Echodyne Corp.,0,3.0,Cbl-M12S4F-CordEnd4-180CM,WH01S-NTA,,Out
2025/05/02,2025/10/03,SO-20250638,PO064732,"FireFly Automatix, Inc.",0,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,,Out
2025/05/02,2025/11/13,SO-20250639,PO064732,"FireFly Automatix, Inc.",0,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,,Out
2025/05/02,2025/12/12,SO-20250640,PO064732,"FireFly Automatix, Inc.",0,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,,Out
2025/05/02,2026/01/13,SO-20250641,PO064732,"FireFly Automatix, Inc.",0,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,,Out
2025/05/02,2026/02/13,SO-20250642,PO064732,"FireFly Automatix, Inc.",0,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,,Out
2025/08/28,2025/10/21,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",0,8.0,Cbl-M12X8M-RJ45-CAT6A-500CM,WH01S-NTA,,Out
2025/09/26,2025/11/21,SO-20251366,PO070225,"FireFly Automatix, Inc.",0,12.0,Cbl-MHF-RP_SMAF-15CM,WH01S-NTA,,Out
